N_event,t_trig,tP3
201091,71550.418,52
201353,71639.375,492
201701,71768.172,11
201759,71789.579,258
202264,71959.996,53
202770,72125.793,139
202998,72213.918,440
203900,72528.645,983
204101,72598.739,372
204268,72655.969,693
204381,72696.271,858
204409,72706.769,112
204423,72709.216,401
204505,72740.527,38
204820,72851.245,684
204922,72886.665,235
205032,72925.769,1488
205095,72948.2,415
205185,72976.185,186
205225,72991.383,191
205695,73158.035,49
205979,73267.551,1213
206088,73308.35,1973
206740,73543.527,766
206806,73570.663,101
207030,73644.885,15
207104,73671.956,224
207571,73842.527,747
207704,73891.309,780
208163,74055.561,154
208249,74084.616,458
208566,74192.213,346
209178,74395.712,1570
209446,74495.613,268
209535,74528.379,504
209555,74537.228,217
209688,74578.522,656
209840,74629.176,864
210394,74818.339,356
210431,74828.963,55
210496,74850.579,228
211157,75094.38,24
211491,75227.0,329
211657,75284.726,491
212257,75501.723,131
212259,75502.0,276
212346,75536.431,831
212493,75591.837,762
212561,75616.221,229
212843,75717.547,271
213039,75780.441,228
213056,75786.089,67
213276,75859.878,96
213627,75983.283,94
213685,76002.707,3910
213915,76086.656,463
214382,76253.42,213
214440,76272.075,787
214515,76298.57,820
214755,76386.472,243
214808,76405.256,1053
215246,76568.163,57
215335,76597.331,115
215578,76683.825,89
215637,76709.663,1027
215724,76739.966,1077
216039,76850.156,955
216130,76880.074,1363
216258,76928.825,297
216811,77128.916,133
216841,77138.355,620
216851,77143.157,686
217194,77264.864,35
217462,77363.918,84
218309,77671.078,602
218340,77682.821,59
218421,77706.597,366
218676,77807.458,1052
218940,77896.495,446
219019,77924.127,1650
219165,77973.629,219
219308,78019.853,362
219326,78028.14,197
220024,78262.326,1589
220162,78308.533,355
220387,78402.274,98
220542,78456.049,287
220575,78465.68,15
220611,78478.864,80
220841,78561.598,774
221050,78633.692,238
221167,78664.891,351
221346,78731.834,1222
221412,78754.569,257
221510,78791.192,982
221972,78955.3,416
222024,78975.011,576
222048,78982.227,456
222347,79085.184,450
222507,79142.895,745
222650,79198.877,843
222912,79284.475,392
223120,79357.273,1622
223277,79411.608,1759
223857,79605.811,1168
224254,79748.287,1018
224462,79831.293,546
224712,79927.434,668
225029,80037.111,171
225051,80045.639,120
225109,80063.479,20
225206,80097.206,1561
225229,80103.334,600
225281,80121.302,11
225484,80192.979,24
225520,80208.819,114
226355,80500.091,418
226538,80567.242,179
226702,80626.296,1067
226886,80677.191,192
227056,80737.894,288
227073,80744.373,520
227113,80754.981,2051
227434,80862.578,340
227463,80871.346,256
228319,81187.866,47
228606,81282.023,499
228812,81352.726,262
228855,81372.502,2379
228882,81381.349,797
229078,81454.227,114
229245,81517.601,61
229435,81587.552,583
230241,81899.015,200
230286,81916.071,317
230445,81976.406,242
230798,82110.306,813
230802,82112.45,36
231248,82272.669,669
231274,82281.322,435
231596,82399.451,41
231910,82504.216,10
232096,82568.311,467
232358,82665.412,284
233033,82908.638,3688
233107,82937.549,30
233261,82984.396,1147
233338,83009.723,467
233438,83044.395,544
233629,83104.873,127
234432,83389.842,275
234919,83571.645,1998
235082,83633.357,189
235327,83708.01,1253
235409,83736.969,79
236348,84089.473,139
236388,84101.28,170
236454,84126.111,277
236917,84279.387,27
236956,84292.939,27
236992,84300.507,614
237309,84416.6,211
237790,84594.691,70
238024,84674.561,879
238200,84733.6,465
238380,84802.83,166
238556,84870.333,269
238855,84975.723,85
238953,85009.337,718
239019,85031.273,161
239527,85227.843,861
239715,85299.842,260
240053,85413.455,402
240128,85441.822,112
240292,85498.781,148
240377,85530.252,1718
240692,85646.554,12
240906,85711.991,3292
240964,85735.751,541
241702,85993.313,567
241817,86031.232,182
241977,86093.503,144
242014,86109.294,2097
242535,86301.705,323
243028,86477.238,796
243096,86501.108,951
243436,86619.745,1181
243468,86634.065,1581
243641,86692.511,142
243946,86799.629,784
244153,86884.235,3572
244740,87092.961,490
244899,87147.221,74
245334,87310.016,135
245375,87325.76,1001
245399,87340.33,352
245844,87490.508,2661
245913,87514.22,247
246115,87587.786,30
246263,87639.113,521
246481,87718.47,266
246542,87739.494,340
246742,87807.46,658
246852,87843.508,1068
247133,87939.377,1150
247238,87976.416,912
247254,87982.352,30
247411,88031.855,860
247420,88035.311,185
247688,88133.805,427
248042,88261.305,114
248674,88488.244,215
248894,88569.713,35
249011,88605.665,501
249630,88812.676,1266
249944,88924.044,1616
250632,89169.387,154
250647,89176.331,175
250707,89195.21,299
250792,89228.776,908
251223,89379.358,549
251969,89671.003,771
252021,89690.458,2742
252966,90017.574,69
252983,90023.926,211
253284,90138.142,110
253640,90262.36,57
253796,90315.62,797
253932,90363.506,994
253962,90375.873,574
254218,90465.675,714
254513,90575.013,32
254642,90627.234,604
255157,90829.431,168
255449,90934.88,503
255476,90943.647,146
255520,90958.207,1258
255938,91116.598,329
255970,91128.853,381
256274,91242.911,135
256335,91261.742,345
257065,91519.968,1232
257287,91596.299,136
257378,91628.009,523
257402,91638.937,195
257410,91640.601,568
257598,91713.829,397
257853,91807.488,607
258150,91916.186,102
259083,92234.057,21
259319,92313.717,3123
259330,92315.813,585
259367,92327.717,685
259368,92328.085,833
259521,92384.85,37
259709,92447.934,1396
259947,92533.274,339
260491,92724.992,470
260582,92757.646,1313
260704,92805.581,1400
260805,92846.858,493
261046,92930.198,98
261216,92997.107,138
261344,93043.104,462
261350,93045.424,50
261967,93273.446,295
262206,93356.897,201
262246,93372.225,976
262318,93401.039,656
262434,93444.253,57
262867,93594.582,97
263194,93706.609,215
263593,93849.754,34
264729,94255.058,91
265024,94360.674,486
265256,94442.415,3834
265364,94487.324,155
265790,94649.174,515
266463,94895.882,13
266526,94917.609,267
266776,95006.422,315
266800,95014.965,149
267042,95117.089,785
267320,95213.308,1688
267330,95217.948,894
267364,95228.764,314
268216,95516.031,296
269264,95896.928,189
270258,96252.513,945
270477,96331.566,194
270582,96370.749,1227
270654,96391.899,173
270831,96448.073,2221
271158,96571.668,107
271358,96640.738,807
271402,96654.129,13
271424,96663.057,1819
271490,96682.256,112
271896,96844.601,327
271904,96846.425,1328
271935,96864.68,626
272430,97046.257,107
272875,97201.963,190
272879,97203.387,361
272946,97222.843,188
272988,97235.578,330
273271,97321.031,34
273521,97413.715,494
273541,97419.987,308
273561,97425.522,312
273588,97438.562,37
273646,97454.274,681
273666,97460.588,257
273870,97530.495,22
274060,97602.764,69
274205,97649.801,1012
274296,97685.929,469
274813,97891.617,79
274947,97936.159,16
275200,98027.083,199
275968,98295.729,71
275980,98299.586,240
276188,98371.439,85
276509,98476.491,662
276661,98534.889,18
276797,98590.119,70
277167,98720.723,185
277184,98726.498,960
277402,98805.007,172
277560,98851.533,187
278153,99070.597,1400
278645,99249.776,3240
278884,99337.66,218
279030,99397.002,918
279183,99453.208,132
279257,99476.007,169
279352,99507.494,1299
279372,99515.365,1471
279518,99569.365,241
279769,99657.313,239
279914,99700.895,418
280129,99787.133,364
280304,99843.514,1817
